WKT,cat,capacity,origin_rd,origin_pt0
"POINT (160903.61032225904637 5406691.47166614420712)",140,20,1,0
"POINT (155510.809664582309779 5406483.641748947091401)",141,20,1,0
"POINT (155499.408394692931324 5407107.131500538438559)",141,20,1,0
"POINT (155476.605854914145311 5406369.335294488817453)",142,20,1,0
"POINT (155465.204585024766857 5406369.335294488817453)",142,20,1,0
"POINT (155476.605854914145311 5406369.335294488817453)",143,20,1,0
"POINT (155510.809664582309779 5406483.641748947091401)",143,20,1,0
"POINT (155476.605854914145311 5406358.943798628635705)",144,20,1,0
"POINT (155476.605854914145311 5406369.335294488817453)",144,20,1,0
"POINT (160481.763336351985345 5406275.811831749975681)",145,20,1,0
"POINT (160436.158256794442423 5406805.778120602481067)",145,20,1,0
"POINT (160493.164606241363799 5406275.811831749975681)",146,20,1,0
"POINT (160481.763336351985345 5406275.811831749975681)",146,20,1,0
"POINT (160493.164606241363799 5406275.811831749975681)",147,20,1,0
"POINT (160903.61032225904637 5406681.080170284025371)",147,20,1,0
"POINT (160481.763336351985345 5406265.420335889793932)",148,20,1,0
"POINT (160481.763336351985345 5406275.811831749975681)",148,20,1,0
"POINT (159991.508731108624488 5406244.637344170361757)",149,20,1,0
"POINT (159866.094762325461488 5406951.259062640368938)",149,20,1,0
"POINT (159957.304921440489125 5406213.462856590747833)",150,20,1,0
"POINT (159945.90365155111067 5406213.462856590747833)",150,20,1,0
"POINT (159957.304921440489125 5406213.462856590747833)",151,20,1,0
"POINT (159991.508731108624488 5406244.637344170361757)",151,20,1,0
"POINT (160470.36206646260689 5406213.462856590747833)",152,20,1,0
"POINT (159991.508731108624488 5406244.637344170361757)",152,20,1,0
"POINT (160470.36206646260689 5406213.462856590747833)",153,20,1,0
"POINT (160481.763336351985345 5406265.420335889793932)",153,20,1,0
"POINT (159957.304921440489125 5406203.071360730566084)",154,20,1,0
"POINT (159957.304921440489125 5406213.462856590747833)",154,20,1,0
"POINT (161154.438259825401474 5406067.981914552859962)",155,20,1,0
"POINT (161154.438259825401474 5406078.373410412110388)",155,20,1,0
"POINT (161165.839529714779928 5406067.981914552859962)",156,20,1,0
"POINT (161154.438259825401474 5406067.981914552859962)",156,20,1,0
"POINT (160470.36206646260689 5406213.462856590747833)",157,20,1,0
"POINT (161154.438259825401474 5406078.373410412110388)",157,20,1,0
"POINT (163081.252871130622225 5406047.198922832496464)",158,20,1,0
"POINT (163503.09985703768325 5406722.646153723821044)",158,20,1,0
"POINT (155841.446491374314064 5405953.675460094586015)",159,20,1,0
"POINT (155510.809664582309779 5406483.641748947091401)",159,20,1,0
"POINT (155510.809664582309779 5405932.892468374222517)",160,20,1,0
"POINT (155476.605854914145311 5406358.943798628635705)",160,20,1,0
"POINT (155510.809664582309779 5405932.892468374222517)",161,20,1,0
"POINT (155841.446491374314064 5405953.675460094586015)",161,20,1,0
"POINT (161485.075086617405759 5405870.543493214994669)",162,20,1,0
"POINT (161165.839529714779928 5406067.981914552859962)",162,20,1,0
"POINT (161496.476356506784214 5405870.543493214994669)",163,20,1,0
"POINT (161485.075086617405759 5405870.543493214994669)",163,20,1,0
"POINT (161496.476356506784214 5405870.543493214994669)",164,20,1,0
"POINT (162362.972868099663174 5407013.608037799596786)",164,20,1,0
"POINT (161496.476356506784214 5405860.151997355744243)",165,20,1,0
"POINT (161496.476356506784214 5405870.543493214994669)",165,20,1,0
"POINT (169944.817344537383178 5405849.760501495562494)",166,20,1,0
"POINT (168599.467497590521816 5406951.259062640368938)",166,20,1,0
"POINT (170070.231313320546178 5405849.760501495562494)",167,20,1,0
"POINT (169944.817344537383178 5405849.760501495562494)",167,20,1,0
"POINT (161496.476356506784214 5405839.369005635380745)",168,20,1,0
"POINT (161496.476356506784214 5405860.151997355744243)",168,20,1,0
"POINT (161496.476356506784214 5405828.977509776130319)",169,20,1,0
"POINT (161485.075086617405759 5405828.977509776130319)",169,20,1,0
"POINT (161496.476356506784214 5405828.977509776130319)",170,20,1,0
"POINT (161496.476356506784214 5405839.369005635380745)",170,20,1,0
"POINT (159147.814759294502437 5405787.411526336334646)",171,20,1,0
"POINT (158532.146185268007684 5406816.169616461731493)",171,20,1,0
"POINT (159147.814759294502437 5405787.411526336334646)",172,20,1,0
"POINT (159945.90365155111067 5406213.462856590747833)",172,20,1,0
"POINT (160983.419211484695552 5405714.671055317856371)",173,20,1,0
"POINT (161154.438259825401474 5406067.981914552859962)",173,20,1,0
"POINT (160983.419211484695552 5405704.279559457674623)",174,20,1,0
"POINT (160983.419211484695552 5405714.671055317856371)",174,20,1,0
"POINT (160994.820481374074006 5405704.279559457674623)",175,20,1,0
"POINT (160983.419211484695552 5405704.279559457674623)",175,20,1,0
"POINT (169933.416074648004724 5405704.279559457674623)",176,20,1,0
"POINT (169944.817344537383178 5405849.760501495562494)",176,20,1,0
"POINT (159022.400790511339437 5405673.105071878060699)",177,20,1,0
"POINT (159147.814759294502437 5405787.411526336334646)",177,20,1,0
"POINT (161211.444609272293746 5405673.105071878060699)",178,20,1,0
"POINT (160994.820481374074006 5405704.279559457674623)",178,20,1,0
"POINT (161222.845879161672201 5405673.105071878060699)",179,20,1,0
"POINT (161211.444609272293746 5405673.105071878060699)",179,20,1,0
"POINT (161222.845879161672201 5405673.105071878060699)",180,20,1,0
"POINT (161485.075086617405759 5405828.977509776130319)",180,20,1,0
"POINT (161211.444609272293746 5405662.71357601787895)",181,20,1,0
"POINT (161211.444609272293746 5405673.105071878060699)",181,20,1,0
"POINT (158896.986821728147333 5405652.322080158628523)",182,20,1,0
"POINT (158885.585551838768879 5405652.322080158628523)",182,20,1,0
"POINT (158896.986821728147333 5405652.322080158628523)",183,20,1,0
"POINT (159022.400790511339437 5405673.105071878060699)",183,20,1,0
"POINT (158885.585551838768879 5405641.930584298446774)",184,20,1,0
"POINT (158885.585551838768879 5405652.322080158628523)",184,20,1,0
"POINT (157916.477611241483828 5405631.539088438265026)",185,20,1,0
"POINT (157905.076341352105374 5405631.539088438265026)",185,20,1,0
"POINT (157916.477611241483828 5405631.539088438265026)",186,20,1,0
"POINT (158520.74491537862923 5406816.169616461731493)",186,20,1,0
"POINT (157916.477611241483828 5405621.147592579014599)",187,20,1,0
"POINT (157916.477611241483828 5405631.539088438265026)",187,20,1,0
"POINT (167037.493522745469818 5405600.364600859582424)",188,20,1,0
"POINT (167026.092252856091363 5405600.364600859582424)",188,20,1,0
"POINT (167037.493522745469818 5405600.364600859582424)",189,20,1,0
"POINT (167584.754477435722947 5406431.684269647113979)",189,20,1,0
"POINT (167447.939238763152389 5406836.952608182094991)",189,20,1,0
"POINT (167026.092252856091363 5405589.97310499940068)",190,20,1,0
"POINT (167026.092252856091363 5405600.364600859582424)",190,20,1,0
"POINT (158600.553804604278412 5405569.1901132799685)",191,20,1,0
"POINT (158885.585551838768879 5405652.322080158628523)",191,20,1,0
"POINT (167026.092252856091363 5405538.015625700354576)",192,20,1,0
"POINT (167026.092252856091363 5405589.97310499940068)",192,20,1,0
"POINT (158646.15888416179223 5405527.624129840172827)",193,20,1,0
"POINT (158600.553804604278412 5405569.1901132799685)",193,20,1,0
"POINT (158646.15888416179223 5405527.624129840172827)",194,20,1,0
"POINT (158885.585551838768879 5405641.930584298446774)",194,20,1,0
"POINT (160105.521430002438137 5405527.624129840172827)",195,20,1,0
"POINT (159957.304921440489125 5406203.071360730566084)",195,20,1,0
"POINT (157517.433165113179712 5405517.232633979991078)",196,20,1,0
"POINT (156730.745542745949933 5406348.552302768453956)",196,20,1,0
"POINT (156286.096017060131999 5407502.008343212306499)",196,20,1,0
"POINT (155738.835062369907973 5407522.791334932669997)",196,20,1,0
"POINT (157528.834435002558166 5405517.232633979991078)",197,20,1,0
"POINT (157517.433165113179712 5405517.232633979991078)",197,20,1,0
"POINT (157528.834435002558166 5405517.232633979991078)",198,20,1,0
"POINT (157905.076341352105374 5405631.539088438265026)",198,20,1,0
"POINT (162214.756359537743265 5405517.232633979991078)",199,20,1,0
"POINT (163081.252871130622225 5406047.198922832496464)",199,20,1,0
"POINT (157517.433165113179712 5405506.841138120740652)",200,20,1,0
"POINT (157517.433165113179712 5405517.232633979991078)",200,20,1,0
"POINT (161678.89667473686859 5405506.841138120740652)",201,20,1,0
"POINT (161496.476356506784214 5405828.977509776130319)",201,20,1,0
"POINT (161678.89667473686859 5405496.449642260558903)",202,20,1,0
"POINT (161678.89667473686859 5405506.841138120740652)",202,20,1,0
